corpus,true_style,sample_id,predicted_style,confidence,text_snippet,style_scores,reasoning,is_simulation
news,新闻,中文_新闻_sample,古文,0.8428571428571429,易。”钟少雄坦言，他在导演这行做了20多年，喜欢挑战，愿意做商业片，“对于这个选择我一直很骄傲”。 科技 具有18倍光学变焦 松下FZ35仅售2990元作者：杨琴随着向大画面高清电视以及摄像新技术的发展，对能录制高质量影像的数码相机之要求也在逐步高涨。现在，DMC-FZ35除了Motion JPEG格式之外，还能以AVCHD Lite格式录制高清影像。它拥有几乎相当于原有Motion JPEG格式,"{'新闻': 0, '小说': 1, '古文': 6, '名著': 1, '阿拉伯语': 0.1, '中文': 0.9, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 中文, 特征数: 新闻=0, 小说=1, 古文=6, 名著=1",True
novel,小说,中文_小说_sample,小说,0.8428571428571429,来是一位大美人。 “放本王下来。”听到小金、小银提到自己，夜星辰又一次喊道。透过凌乱的发丝，天空堪蓝如海，白云似棉花般飘浮在天空。耳听着鸟语水流，耳嗅着清新气息。感觉这里倒是个很雅致的地方，没想到贼也蛮懂享受的。 “我还要找其他的孩子呢。” 回到病房，宋城第一个望过来，看她两手空空，不由的蹙眉：“老姐，你不是说去买水果吗？” 蜜儿困难的咽了咽口水，吓得花容失色，一边极力控制情绪，一边故作无辜的瞅着,"{'新闻': 2, '小说': 6, '古文': 5, '名著': 1, '阿拉伯语': 0.1, '中文': 0.9, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 中文, 特征数: 新闻=2, 小说=6, 古文=5, 名著=1",True
classical,古文,中文_古文_sample,古文,0.8555555555555556,是不家食吉而养贤。利涉大川。注。二变体坎。故利涉大川。疏。大壮至利贞○卦自大壮来。初九之上传谓其德刚上也。与萃为旁通。此上虞义也。卦有小畜大畜。阴称小。阳称大。小畜谓四。四阴故小。大畜谓上。上阳故大。上体艮。艮为止。畜者。敛聚。有止义。以艮畜乾。谓之大畜也。又有畜养之义。故取义于畜德养贤。二五失位。故利贞。亦虞义也。○二称至养贤○二称家。虞义也。义见蒙卦。体颐养已下。郑义也。三至上体颐。颐者。养也,"{'新闻': 0, '小说': 2, '古文': 8, '名著': 0, '阿拉伯语': 0.1, '中文': 0.9, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 中文, 特征数: 新闻=0, 小说=2, 古文=8, 名著=0",True
literature,名著,中文_名著_sample,小说,0.8555555555555556,"，波兰人，真的是个天才。猜他怎么着？他会买一个金戒指，当十五法郎。然后——你晓得填当票的店员有多马虎——在店员写了‘金质’的地方，他添上‘镶钻石’这几个字，然后把‘十五法郎’改成‘一万五’。干得漂亮，是吧？然后，你瞧，他拿当票去抵押，借到一万法郎。我说有脑子就是这个意思……” 落得个天地悠悠空断肠！"" ""没有没有！""温斯顿心里发虚，急急地说。""我还到处找来着。全是个没有。"" 这位年轻女子先后遇见这","{'新闻': 0, '小说': 8, '古文': 7, '名著': 1, '阿拉伯语': 0.1, '中文': 0.9, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 中文, 特征数: 新闻=0, 小说=8, 古文=7, 名著=1",True
ara,阿拉伯语,多语言_ara_sample,阿拉伯语,0.7849970431925393,دة نسبًا أكثر اعتدالًا لتعاطي المواد المخدرة من قبل المرضى المصابين باضطرابات نفسية. 12209 أصبح هذا المصطلح معروفًا على نطاق واسع خارج جنوب إفريقيا منذ الانتقال لنظام الحكم الديمقراطي برئاسة نيلسون ما,"{'新闻': 0, '小说': 0, '古文': 0, '名著': 0, '阿拉伯语': 0.9, '中文': 0.1, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 阿拉伯语, 特征数: 新闻=0, 小说=0, 古文=0, 名著=0",True
cmn,中文,多语言_cmn_sample,古文,0.8, Modus vivendi（權宜的妥協） 11904 》（Nemzeti dal）的作者。 1675 ，1989年1月25日 － ）， 11355 McFly的自傳首次披露樂隊不為人知知的故事，他們的生活充滿很多笑聲和偶爾出現的淚水，生活點滴由加入McFly的樂隊成員開始成為隊友，並成為生命中最好的朋友。 19131 三百六十行是指各行各业的行当，也就是社会的工种。 11256 Maria Le,"{'新闻': 0, '小说': 1, '古文': 3, '名著': 2, '阿拉伯语': 0.1, '中文': 0.9, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 中文, 特征数: 新闻=0, 小说=1, 古文=3, 名著=2",True
deu,德语,多语言_deu_sample,德语,0.8506192777822398," und Eck wählte Leipzig. 11179 Am 22. Mai 1947 lebten in Černá Voda nur noch 894 Menschen. 4862 Alle Stromabnehmer sind die gleichen, die auch im Velaro E verwendet werden, wurden aber durch entsprech","{'新闻': 0, '小说': 0, '古文': 0, '名著': 0, '阿拉伯语': 0.1, '中文': 0.1, '德语': 0.9, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 德语, 特征数: 新闻=0, 小说=0, 古文=0, 名著=0",True
eng,英语,多语言_eng_sample,英语,0.704923016487354,"o California where Stanford played different roles for MGM such as soldier, bystander, radio operator, passenger, policeman, and aircraft pilot for about 79 films. 1352 According to Burckhardt, the wa","{'新闻': 0, '小说': 0, '古文': 0, '名著': 0, '阿拉伯语': 0.1, '中文': 0.1, '德语': 0.1, '英语': 0.9, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 英语, 特征数: 新闻=0, 小说=0, 古文=0, 名著=0",True
fas,波斯语,多语言_fas_sample,阿拉伯语,0.9009875117300956,یفیت محلول ضد یخی که برای خنک کردن موتور بکار می رود است. 19536 از محسنات تي تري اويل طبيعي بودن و در نتيجه عدم ايجاد التهاب مي باشد. 15161 از آن جا که گنجی در کنکور اعزام به خارج در بخش معلمی تاریخ و,"{'新闻': 0, '小说': 0, '古文': 0, '名著': 0, '阿拉伯语': 0.9, '中文': 0.1, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.1, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 阿拉伯语, 特征数: 新闻=0, 小说=0, 古文=0, 名著=0",True
fra,法语,多语言_fra_sample,法语,0.6400963851126952,"Ainsi, le rail remplaçait les pistes qui jusque-là reliaient seules ces territoires lointains à l'Est. 18904 Aussi, Brenda se fera agresser au Peach Pit par un homme armé d'un fusil à pompe qui fait i","{'新闻': 0, '小说': 0, '古文': 0, '名著': 0, '阿拉伯语': 0.1, '中文': 0.1, '德语': 0.1, '英语': 0.1, '波斯语': 0.1, '法语': 0.9, '希伯来语': 0.1, '印地语': 0.1, '地书风格': 0.1}","基于文本特征的模拟分类结果。检测到的语言: 法语, 特征数: 新闻=0, 小说=0, 古文=0, 名著=0",True
