category,count
sequence,250
continuation,227
elaboration,129
result,80
contrast,58
start,58
temporal_sequence,24
temporal,15
turning_point,15
summary,11
parallel,8
explanation,8
psychological_result,6
cause,6
new_scene,6
cause_result,4
other,4
event_trigger,4
contrast_result,2
decision,2
response,2
fantasy_transition,2
goal_result,2
new_dream_scene,2
closing_sequence,2
inquiry,2
wake_state_elaboration,2
climax_result,2
background,2
concession,2
purpose,1
episode_shift,1
conclusion,1
cause-effect,1
conversation,1
anticipation,1
causality,1
篇章起始,1
顺承延续,1
转折对立,1
思路转换,1
细节延展+情绪转折,1
